id,username,password,role
1,Healtra,abc1234def,recommender
2,Berium,abc1234def,subscriber
3,Bizaringo,abc1234def,subscriber
4,Retaire,abc1234def,subscriber
5,Coelle,abc1234def,subscriber
6,Corpoi,abc1234def,subscriber
7,ReeCozy,abc1234def,subscriber
8,Somberyb,abc1234def,subscriber
9,Greyorma,abc1234def,subscriber
10,Grountry,abc1234def,subscriber
11,Eagergi,abc1234def,subscriber
12,Forthur,abc1234def,recommender
13,SnoopyRacer,abc1234def,subscriber
14,Sootalex,abc1234def,subscriber
15,Boaur,abc1234def,subscriber
16,Sunnyford,abc1234def,subscriber
17,Missingla,abc1234def,subscriber
18,Overis,abc1234def,subscriber
19,Tuchance,abc1234def,subscriber
20,Upperus,abc1234def,subscriber
21,CoverageBird,abc1234def,subscriber
22,Datawar,abc1234def,subscriber
23,Zapor,abc1234def,recommender
24,Dragonneti,abc1234def,subscriber
25,Getjana,abc1234def,subscriber
26,Acetean,abc1234def,subscriber
27,Banditmica,abc1234def,subscriber
28,BauerWeaver,abc1234def,subscriber
29,Buttons,abc1234def,subscriber
30,Ryothou,abc1234def,subscriber
31,Scorpiondead,abc1234def,subscriber
32,Crattech,abc1234def,subscriber
33,Derhumbi,abc1234def,subscriber
